date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:23:28	15329/15329	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:36:30%20GMT	https://themes.pixelstrap.net/pwa/chatzy/starred-message.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/starred-message.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:29	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2005:23:10%20GMT	https://themes.pixelstrap.net/pwa/chatzy/invite-people.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/invite-people.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:29	23754/23754	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:29:00%20GMT	https://themes.pixelstrap.net/pwa/chatzy/call.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/call.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:29	19276/19276	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2005:59:27%20GMT	https://themes.pixelstrap.net/pwa/chatzy/add-chat-contact.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/add-chat-contact.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:30	12077/12077	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:23:14%20GMT	https://themes.pixelstrap.net/pwa/chatzy/invite-friend.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/invite-friend.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:30	15824/15824	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:26:06%20GMT	https://themes.pixelstrap.net/pwa/chatzy/page-listing.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/page-listing.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:30	5406/5406	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:04:02%20GMT	https://themes.pixelstrap.net/pwa/chatzy/components-page.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/components-page.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:31	14024/14024	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:35:19%20GMT	https://themes.pixelstrap.net/pwa/chatzy/profile.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/profile.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:31	13000/13000	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:36:13%20GMT	https://themes.pixelstrap.net/pwa/chatzy/setting.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/setting.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:31	3977/3977	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:24:02%20GMT	https://themes.pixelstrap.net/pwa/chatzy/login.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/login.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:32	19931/19931	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Nov%202023%2011:56:58%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p1.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p1.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:35	1840320/1840320	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2005:39:03%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p2.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p2.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:36	1534212/1534212	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2005:39:03%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p4.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p4.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:36	401271/401271	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2005:39:03%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p5.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p5.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:36	113362/113362	---M--	200	added ('OK')	image/png	date:Mon,%2001%20May%202023%2013:11:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p7.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p7.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:36	1968509/1968509	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2005:39:03%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p6.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p6.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:37	19800/19800	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:19:32%20GMT	https://themes.pixelstrap.net/pwa/chatzy/group-chat.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/group-chat.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:37	2180083/2180083	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2005:39:03%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p3.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p3.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:37	23748/23748	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2006:06:58%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p8.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p8.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:37	1172/1172	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Dec%202023%2012:52:11%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/pin.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/pin.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:38	21514/21514	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:28:57%20GMT	https://themes.pixelstrap.net/pwa/chatzy/private-chat.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/private-chat.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:38	369/369	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2007:56:02%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/tick-all.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/tick-all.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:39	39308/39308	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2008:27:39%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/heart.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/heart.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:39	1797/1797	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2007:49:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/mute.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/mute.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:39	14519/14519	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2011:02:18%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p9.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p9.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:40	1199/1199	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2010:52:06%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/gallery.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/gallery.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:40	27341/27341	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2011:16:29%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p10.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p10.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:40	242/242	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2011:31:32%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/tick.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/tick.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:41	865/865	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Dec%202023%2012:52:11%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/messages.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/messages.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:41	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2005:23:23%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/story-img.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/story-img.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:42	1000/1000	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:39:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/chat.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/chat.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:42	854/854	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:37:50%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/chat-fill.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/chat-fill.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:42	1357/1357	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:39:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/call.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/call.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:43	1313/1313	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:44:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/call-fill.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/call-fill.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:43	1215/1215	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:39:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/setting.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/setting.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:44	773/773	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:43:47%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/setting-fill.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/setting-fill.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:44	673/673	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2008:38:55%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/profile.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/profile.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:44	692/692	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Nov%202023%2006:51:39%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/profile-fill.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/profile-fill.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:45	834/834	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2013:00:09%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/video.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/video.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:45	1147/1147	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2012:09:46%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/headphone.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/headphone.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:46	747/747	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2012:09:30%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/document.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/document.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:46	6297/6297	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2012:08:39%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/gif.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/gif.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:47	990/990	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2012:09:07%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/link.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/link.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:48	1579/1579	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Nov%202023%2012:09:58%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/message.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/message.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:48	414/414	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Nov%202023%2010:27:40%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/icons/gallery.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/icons/gallery.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:48	551/551	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Nov%202023%2010:28:02%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/icons/camera.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/icons/camera.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:49	485/485	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Nov%202023%2010:28:22%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/icons/text.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/icons/text.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:49	2646/2646	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Dec%202023%2010:19:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/smile.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/smile.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:50	423555/423555	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Nov%202023%2009:00:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/story-img1.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/story-img1.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:51	468722/468722	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2004:52:20%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/story-img3.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/story-img3.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:51	641/641	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20May%202023%2004:40:32%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/iconsax.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/iconsax.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:52	80663/80663	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2006:50:01%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/bootstrap.bundle.min.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:53	206640/206640	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20May%202023%2013:11:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/swiper-bundle.min.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/swiper-bundle.min.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:53	1090936/1090936	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2004:45:25%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/story-img2.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/story-img2.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:53	808/808	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202023%2004:20:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/custom-swiper.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/custom-swiper.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:53	1565/1565	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202023%2007:51:28%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/script.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/script.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:54	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2005:23:35%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/js/template-setting.js	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/js/template-setting.js	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:55	4100/4100	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2009:16:09%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/background/profile-bg-shape.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/background/profile-bg-shape.png	(from https://themes.pixelstrap.net/pwa/chatzy/assets/css/style.css)
05:23:55	1592/1592	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202023%2010:24:58%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/onboarding/btn-shape1.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/onboarding/btn-shape1.svg	(from https://themes.pixelstrap.net/pwa/chatzy/assets/css/style.css)
05:23:55	2097/2097	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202023%2010:25:11%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/onboarding/btn-shape2.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/onboarding/btn-shape2.svg	(from https://themes.pixelstrap.net/pwa/chatzy/assets/css/style.css)
05:23:55	414112/414112	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Nov%202023%2012:31:08%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/background/video-call-bg.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/background/video-call-bg.png	(from https://themes.pixelstrap.net/pwa/chatzy/assets/css/style.css)
05:23:56	13094/13094	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Dec%202023%2004:41:07%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p17.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p17.png	(from https://themes.pixelstrap.net/pwa/chatzy/new-group-contact.html)
05:23:56	64429/64429	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Nov%202023%2005:15:47%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p12.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p12.png	(from https://themes.pixelstrap.net/pwa/chatzy/new-group-contact.html)
05:23:56	14857/14857	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Dec%202023%2004:49:09%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p19.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/profile/p19.png	(from https://themes.pixelstrap.net/pwa/chatzy/new-group-contact.html)
